Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %,actual winner
duke,297,193,0.577,0.37,0.66,5.2,9.6,35.05,13.8,6.35,0.358,0.894,1
air force,199,160,0.494,0.4,0.65,2.29,9.06,29.12,11.94,6.24,0.285,0.848,1
virigina,202,178,0.472,0.526,0.551,1.5,9.88,37.75,12.06,9.56,0.308,0.851,2
hopkins,193,143,0.57,0.545,0.659,3.13,10.88,30.63,13.56,6.13,0.303,0.826,2
penn,159,139,0.484,0.349,0.74,1.33,11,30.67,17.73,6.87,0.29,0.873,2
drexel,209,186,0.606,0.38,0.578,1.28,11.28,31.78,14.72,6.28,0.286,0.891,2
denver,251,161,0.485,0.405,0.629,4.74,10.68,29.32,11.16,5.95,0.371,0.885,1
UNC,195,126,0.484,0.444,0.731,4.6,10.53,32.6,12.2,6.87,0.329,0.87,1
loyola,219,127,0.525,0.442,0.686,5.41,11.06,36,11.94,8.06,0.313,0.918,2
albany,287,204,0.41,0.471,0.609,4.61,13.56,29.33,13.39,7.72,0.378,0.892,2
notre dame,213,172,0.552,0.522,0.576,2.28,9.44,30.72,14.33,6.83,0.319,0.868,1
harvard,182,166,0.49,0.389,0.602,0.94,10.24,29.65,15.24,7.53,0.292,0.885,1
maryland,183,123,0.646,0.444,0.587,4.12,9.65,35.06,13.71,7.47,0.283,0.904,1
cornell,204,153,0.517,0.443,0.653,3.19,10.75,34.94,14.38,7.94,0.32,0.875,1
syracuse,208,187,0.467,0.431,0.613,1.31,11.44,29.44,12.13,6.81,0.353,0.863,2
bryant,216,166,0.678,0.422,0.77,2.38,11.43,34.1,16.38,5.24,0.289,0.86,2
duke,297,193,0.577,0.37,0.66,5.2,9.6,35.05,13.8,6.35,0.358,0.894,1
hopkins,193,143,0.57,0.545,0.659,3.13,10.88,30.63,13.56,6.13,0.303,0.826,1
drexel,209,186,0.606,0.38,0.578,1.28,11.28,31.78,14.72,6.28,0.286,0.891,2
denver,251,161,0.485,0.405,0.629,4.74,10.68,29.32,11.16,5.95,0.371,0.885,2
albany,287,204,0.41,0.471,0.609,4.61,13.56,29.33,13.39,7.72,0.378,0.892,2
notre dame,213,172,0.552,0.522,0.576,2.28,9.44,30.72,14.33,6.83,0.319,0.868,2
maryland,183,123,0.646,0.444,0.587,4.12,9.65,35.06,13.71,7.47,0.283,0.904,1
bryant,216,166,0.678,0.422,0.77,2.38,11.43,34.1,16.38,5.24,0.289,0.86,1
duke,297,193,0.577,0.37,0.66,5.2,9.6,35.05,13.8,6.35,0.358,0.894,1
denver,251,161,0.485,0.405,0.629,4.74,10.68,29.32,11.16,5.95,0.371,0.885,1
notre dame,213,172,0.552,0.522,0.576,2.28,9.44,30.72,14.33,6.83,0.319,0.868,1
maryland,183,123,0.646,0.444,0.587,4.12,9.65,35.06,13.71,7.47,0.283,0.904,1
duke,297,193,0.577,0.37,0.66,5.2,9.6,35.05,13.8,6.35,0.358,0.894,1
notre dame,213,172,0.552,0.522,0.576,2.28,9.44,30.72,14.33,6.83,0.319,0.868,1
