Team name,goals for,goals against,faceoff winning %,man-up off,man down def,scoring margin,saves per game,ground balls per game,turnovers per game,caused turnovers,shot %,clearing %
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903
bryant,191,155,0.564,0.532,0.585,1.89,9.79,28.89,14.84,7.53,0.286,0.861
albany,277,171,0.686,0.358,0.829,5.89,10.67,33.28,13.67,6.06,0.344,0.892
North Carolina,184,167,0.521,0.391,0.596,1.06,10.13,29.88,13.25,6.69,0.289,0.887
Denver,229,149,0.723,0.456,0.568,4.71,8.29,30.18,11.76,,0.348,0.876
air force,197,147,0.544,0.38,0.622,2.78,,26.56,12.17,6.44,0.288,0.879
notre Dame,158,147,0.437,0.283,0.55,0.73,10.27,26.33,12.47,7.2,0.319,0.861
marquette,153,149,0.497,0.3,0.756,0.25,9.75,26.13,11.5,5.75,0.274,0.885
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87
loyola,198,134,0.564,0.385,0.784,4,9.94,33.63,11.69,9.31,0.301,0.918
hopkins,174,172,0.465,0.605,0.525,0.13,9.2,26.67,10.67,6.73,0.31,0.896
duke,235,151,0.549,0.5,0.673,4.67,9.44,30.89,12.67,6.17,0.347,0.872
penn st,213,171,0.584,0.415,0.515,2.63,10.88,30.44,12.94,4.94,0.353,0.87
towson,162,130,0.573,0.364,0.638,1.88,7.88,26.71,11.47,7.12,0.254,0.887
syracuse,193,161,0.528,0.5,0.66,2,9.94,28.06,10.88,6,0.322,0.919
yale,207,165,0.605,0.171,0.533,2.63,9.38,32.31,12.06,5.56,0.314,0.877
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903
albany,277,171,0.686,0.358,0.829,5.89,10.67,33.28,13.67,6.06,0.344,0.892
Denver,229,149,0.723,0.456,0.568,4.71,8.29,30.18,11.76,,0.348,0.876
notre Dame,158,147,0.437,0.283,0.55,0.73,10.27,26.33,12.47,7.2,0.319,0.861
towson,162,130,0.573,0.364,0.638,1.88,7.88,26.71,11.47,7.12,0.254,0.887
syracuse,193,161,0.528,0.5,0.66,2,9.94,28.06,10.88,6,0.322,0.919
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87
duke,235,151,0.549,0.5,0.673,4.67,9.44,30.89,12.67,6.17,0.347,0.872
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903
Denver,229,149,0.723,0.456,0.568,4.71,8.29,30.18,11.76,,0.348,0.876
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87
towson,162,130,0.573,0.364,0.638,1.88,7.88,26.71,11.47,7.12,0.254,0.887
maryland,237,167,0.5,0.351,0.714,3.68,10.84,30.05,11.79,5.89,0.347,0.903
ohio state,238,176,0.621,0.492,0.697,2.95,9.95,28.9,13.19,4.67,0.335,0.87
