team,abbr for page
Duke,duke
North Carolina,unc
Denver,denver
Delaware,delaware
Virginia,uva
Boston University,bostonu
Georgetown,gtown
Maryland,maryland
Navy,navy
Rutgers,rutgers
Army,army
Bryant,bryant
Hofstra,hofstra
Loyola,loyola
Stony Brook,sbu
Jacksonville,jacksonville
Mercer,mercer
Towson,towson
Holy Cross,holycross
Lehigh,lehigh
Notre Dame,nd
UAlbany,albany
UMBC,umbc
Johns Hopkins,jhu
LIU,liupost
Merrimack,merrimack
Ohio State,osu
Syracuse,syracuse
Villanova,villanova
Air Force,afa
High Point,hpu
Providence,providence
Richmond,richmond
St. John’s,stjohns
Bellarmine,bellarmine
Mount St Mary’s,msm
robert morris,rmu
Sacred Heart,sacred
Ytah,utah
Cleveland State,clevelandstate
UMass Lowell,uml
Vermont,vermont
Wagner,wagner
Colgate,colgate
Marquette,marq
Michigan,mich
NJIT,njit
Penn State,psu
Saint Joseph’s,stjoseph
Binghamton,binghamton
Brown,brown
Bucknell,bucknell
Canisius,canisius
Cornell,cornell
Dartmouth,dartmouth
Detroit Mercy,detroit
Drexel,drexel
Fairfield,fairfield
Hampton,hampton
Hartford,hartford
Harvard,harvard
Hobart,hobart
Lafayette,lafayette
Manhattan,manhattan
Marist,marist
Monmouth,monmouth
Penn,penn
Princeton,princeton
Quinnipiac,quinnipiac
Siena,siena
St. Bonaventure,bonaventure
UMass,umass
VMI,vmi
Yale,yale
